course_id,student_id,gradebook_item,grade_category,points_possible,points_earned
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,NA,5,4.05
AnPhA-S116-01,60186,WORK ATTEMPTED,NA,30,24
AnPhA-S116-01,60186,0.1: Message Your Instructor,NA,105,71.675
AnPhA-S116-01,60186,0.2: Intro Assignment - Discussion Board,Hw,140,140.97
AnPhA-S116-01,60186,0.3: Intro Assignment - Submitting Files,Hw,5,5
AnPhA-S116-01,60186,1.1: Quiz,Qz,5,4
AnPhA-S116-01,60186,1.2: Quiz,Qz,20,NA
AnPhA-S116-01,60186,1.3: Create a Living Creature,Hw,50,50
AnPhA-S116-01,60186,1.3: Create a Living Creature - Discussion Board,Hw,10,NA
AnPhA-S116-01,60186,1.4: Negative Feedback Loop Flowchart,Hw,50,44
AnPhA-S116-01,60186,1.5: Quiz,Qz,5,4.19
AnPhA-S116-01,60186,Unit 1 Assessment: Pickle Autopsy Lab,Hw,5,5
AnPhA-S116-01,60186,PROGRESS CHECK 1 @ 10-02-15,NA,24,16
AnPhA-S116-01,60186,2.1: Types of Membranes,Hw,10,9.32
AnPhA-S116-01,60186,2.2 - 2.3: Quiz,Qz,10,9
AnPhA-S116-01,60186,2.4 - 2.5 Quiz,Qz,10,10
AnPhA-S116-01,60186,2.6: Quiz,Qz,5,5
AnPhA-S116-01,60186,Unit 2 Assessment: Test,Qz,443,389
AnPhA-S116-01,60186,3.1: Models of the Integumentary System,Hw,10,10
AnPhA-S116-01,60186,3.2 - 3.3: Quiz,Qz,5,3
AnPhA-S116-01,60186,3.4: Skin Twin - Discussion Board,Hw,5,NA
AnPhA-S116-01,60186,Unit 3 Assessment: UV Exposure Lab,Hw,30,NA
AnPhA-S116-01,60186,PROGRESS CHECK 2 @ 10-28-15,NA,15,12
AnPhA-S116-01,60186,4.2: Balloon Skull Lab,Hw,5,5
AnPhA-S116-01,60186,4.1 - 4.3: Quiz,Qz,5,NA
AnPhA-S116-01,60186,4.4: Quiz,Qz,5,10
AnPhA-S116-01,60186,4.5: Muscle Movements in our Daily Life,Hw,24,12
AnPhA-S116-01,60186,4.6: Soda and Osteoporosis Research Writing,Hw,15,15
AnPhA-S116-01,60186,Unit 4 Assessment: Test,Qz,75,65
AnPhA-S116-01,60186,5.1: Quiz,Qz,10,NA
AnPhA-S116-01,60186,5.4: Muscle Tissue Types Chart,Hw,625,461.76
AnPhA-S116-01,60186,5.2 - 5.4: Quiz,Qz,438,419
AnPhA-S116-01,60186,PROGRESS CHECK 3 @ 11-20-15,NA,10,10
AnPhA-S116-01,60186,5.5: Naming Skeletal Muscle - Discussion Board,Hw,12,11.64
AnPhA-S116-01,60186,5.6: Quiz,Qz,10,10
