student_id,course_id,subject,semester,section,final_grade,gender,course_interest,perceived_competence,utility_value
43146,FrScA-S216-02,FrScA,S216,2,93.4537246,M,5,4.5,4.333333333
44638,OcnA-S116-01,OcnA,S116,1,81.70184255,F,4.2,3.5,4
47448,FrScA-S216-01,FrScA,S216,1,88.48758465,M,5,4,3.666666667
47979,OcnA-S216-01,OcnA,S216,1,81.85259631,M,5,3.5,5
48797,PhysA-S116-01,PhysA,S116,1,84,F,3.8,3.5,3.5
51943,FrScA-S216-03,FrScA,S216,3,NA,F,4.6,4,4
52326,AnPhA-S216-01,AnPhA,S216,1,83.5882656,M,5,3.5,5
52446,PhysA-S116-01,PhysA,S116,1,97.77777778,F,3,3,3.333333333
53447,FrScA-S116-01,FrScA,S116,1,96.11872146,F,4.2,3,2.666666667
53475,FrScA-S116-02,FrScA,S116,2,NA,M,NA,NA,NA
53475,FrScA-S216-01,FrScA,S216,1,81.03837472,M,NA,NA,NA
54066,OcnA-S116-01,OcnA,S116,1,93.90452261,M,4.4,4,5
54282,OcnA-S116-02,OcnA,S116,2,93.40033501,F,3.4,3,2.666666667
54342,OcnA-S116-02,OcnA,S116,2,64.78224456,F,4.7,4.5,3.833333333
54346,OcnA-S116-01,OcnA,S116,1,51.0921273,F,NA,NA,NA
54434,PhysA-S116-01,PhysA,S116,1,93.0625,F,4,3,3
54567,OcnA-S216-02,OcnA,S216,2,65.84254606,F,4.2,4,4
55078,FrScA-S216-01,FrScA,S216,1,97.74266366,F,4.2,3.5,4.333333333
55140,PhysA-S116-01,PhysA,S116,1,73.78472222,F,3.8,3,2.666666667
55283,FrScA-S116-01,FrScA,S116,1,NA,F,3.8,3.5,2.833333333
56152,AnPhA-S116-02,AnPhA,S116,2,94.1248,F,4,4,2.666666667
57188,AnPhA-S116-02,AnPhA,S116,2,80.7344,F,4.3,4,4.166666667
57188,FrScA-S216-01,FrScA,S216,1,76.9751693,F,4.3,4,4.166666667
57224,FrScA-S116-03,FrScA,S116,3,87.09360731,F,4.6,3.75,3.333333333
57489,PhysA-S116-01,PhysA,S116,1,94.79166667,F,3.6,2.5,3.333333333
57981,OcnA-S116-01,OcnA,S116,1,66.69011725,F,4.2,3,3.666666667
58168,AnPhA-S216-01,AnPhA,S216,1,96.5216,F,5,5,4.666666667
58178,OcnA-S116-01,OcnA,S116,1,92.68174204,F,4,3,4
60186,AnPhA-S116-01,AnPhA,S116,1,86.272,F,5,5,4.666666667
61357,FrScA-S116-02,FrScA,S116,2,NA,F,NA,NA,NA
61941,FrScA-S116-01,FrScA,S116,1,94.29223744,M,4,3.5,3.333333333
61965,BioA-S116-01,BioA,S116,1,77.65698925,M,NA,NA,NA
62157,FrScA-S116-02,FrScA,S116,2,70.62100457,F,4.5,3.5,3.333333333
62175,OcnA-S216-01,OcnA,S216,1,73.77386935,M,4,4,3.333333333
62576,PhysA-S116-01,PhysA,S116,1,94.44444444,M,3.4,3,2.666666667
62752,PhysA-S116-01,PhysA,S116,1,93.77777778,F,4.2,2.5,2.333333333
62754,PhysA-S116-01,PhysA,S116,1,96.34027778,F,3.7,2.5,3
64930,FrScA-T116-01,FrScA,T116,1,83.23287671,F,4,3,3.666666667
65116,FrScA-S216-01,FrScA,S216,1,93.22799097,M,4.8,4.25,3.833333333
65627,AnPhA-S116-02,AnPhA,S116,2,81.4872,F,NA,NA,NA
66508,AnPhA-T116-01,AnPhA,T116,1,NA,F,4,3,4.333333333
66508,PhysA-T116-01,PhysA,T116,1,93.88888889,M,4,3,4.333333333
66689,FrScA-S216-01,FrScA,S216,1,98.64559819,M,4.5,3.75,3.5
66693,AnPhA-S116-01,AnPhA,S116,1,93.7536,F,3.8,3.25,3.166666667
66740,OcnA-S116-01,OcnA,S116,1,99.32998325,M,5,4.5,3.666666667
66811,AnPhA-S116-01,AnPhA,S116,1,91.2016,F,3.8,2.5,4
66862,AnPhA-S116-01,AnPhA,S116,1,59.8197328,F,4,3,3.666666667
67013,AnPhA-S216-01,AnPhA,S216,1,46.072,F,3.3,4.25,2.333333333
67102,PhysA-S216-01,PhysA,S216,1,89.86111111,F,NA,NA,NA
67463,FrScA-S216-01,FrScA,S216,1,91.4221219,M,4.2,3,3.666666667
67508,AnPhA-S116-01,AnPhA,S116,1,83.8149328,F,3.8,3.5,3.333333333
67762,FrScA-S116-02,FrScA,S116,2,83.41324201,M,4,3,3.666666667
67920,OcnA-S116-01,OcnA,S116,1,90.70351759,F,5,4.5,4
68022,OcnA-S216-01,OcnA,S216,1,90.95979899,F,4.4,3,2.666666667
68188,FrScA-S116-01,FrScA,S116,1,92.46575342,F,5,4.5,5
68476,OcnA-S116-02,OcnA,S116,2,94.57956449,F,3.7,3.5,4
68598,BioA-S116-01,BioA,S116,1,87.24408602,M,3.2,3,2.333333333
68768,FrScA-S116-02,FrScA,S116,2,64.76027397,F,4.6,4.5,4.666666667
68795,FrScA-S216-01,FrScA,S216,1,83.06997743,M,4.1,3.75,3.333333333
69072,FrScA-S116-01,FrScA,S116,1,93.60730594,F,4.4,3.5,3.666666667
69182,FrScA-S216-01,FrScA,S216,1,91.19638826,F,5,4.5,4.333333333
