course_id,student_id,gradebook_item,points_possible,points_earned
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,5,4.05
AnPhA-S116-01,60186,WORK ATTEMPTED,30,24
AnPhA-S116-01,60186,0.1: Message Your Instructor,105,71.675
AnPhA-S116-01,60186,0.2: Intro Assignment - Discussion Board,140,140.97
AnPhA-S116-01,60186,0.3: Intro Assignment - Submitting Files,5,5
AnPhA-S116-01,60186,1.1: Quiz,5,4
AnPhA-S116-01,60186,1.2: Quiz,20,NA
AnPhA-S116-01,60186,1.3: Create a Living Creature,50,50
AnPhA-S116-01,60186,1.3: Create a Living Creature - Discussion Board,10,NA
AnPhA-S116-01,60186,1.4: Negative Feedback Loop Flowchart,50,44
AnPhA-S116-01,60186,1.5: Quiz,5,4.19
AnPhA-S116-01,60186,Unit 1 Assessment: Pickle Autopsy Lab,5,5
AnPhA-S116-01,60186,PROGRESS CHECK 1 @ 10-02-15,24,16
AnPhA-S116-01,60186,2.1: Types of Membranes,10,9.32
AnPhA-S116-01,60186,2.2 - 2.3: Quiz,10,9
AnPhA-S116-01,60186,2.4 - 2.5 Quiz,10,10
AnPhA-S116-01,60186,2.6: Quiz,5,5
AnPhA-S116-01,60186,Unit 2 Assessment: Test,443,389
AnPhA-S116-01,60186,3.1: Models of the Integumentary System,10,10
AnPhA-S116-01,60186,3.2 - 3.3: Quiz,5,3
AnPhA-S116-01,60186,3.4: Skin Twin - Discussion Board,5,NA
AnPhA-S116-01,60186,Unit 3 Assessment: UV Exposure Lab,30,NA
AnPhA-S116-01,60186,PROGRESS CHECK 2 @ 10-28-15,15,12
AnPhA-S116-01,60186,4.2: Balloon Skull Lab,5,5
AnPhA-S116-01,60186,4.1 - 4.3: Quiz,5,NA
AnPhA-S116-01,60186,4.4: Quiz,5,10
AnPhA-S116-01,60186,4.5: Muscle Movements in our Daily Life,24,12
AnPhA-S116-01,60186,4.6: Soda and Osteoporosis Research Writing,15,15
AnPhA-S116-01,60186,Unit 4 Assessment: Test,75,65
AnPhA-S116-01,60186,5.1: Quiz,10,NA
AnPhA-S116-01,60186,5.4: Muscle Tissue Types Chart,625,461.76
AnPhA-S116-01,60186,5.2 - 5.4: Quiz,438,419
AnPhA-S116-01,60186,PROGRESS CHECK 3 @ 11-20-15,10,10
AnPhA-S116-01,60186,5.5: Naming Skeletal Muscle - Discussion Board,12,11.64
AnPhA-S116-01,60186,5.6: Quiz,10,10
AnPhA-S116-01,60186,Unit 5 Assessment: Fitness Class Poster,10,6
AnPhA-S116-01,60186,6.1: Quiz,5,5
AnPhA-S116-01,60186,6.2: Helmet Law - Discussion Board,30,24
AnPhA-S116-01,60186,6.3 - 6.4: Quiz,438,405
AnPhA-S116-01,60186,6.5: Diagramming the Nervous System,10,10
AnPhA-S116-01,60186,Unit 6 Assessment: Test,50,38
AnPhA-S116-01,60186,PROGRESS CHECK 4 @ 12-18-15,50,50
AnPhA-S116-01,60186,7.1: Quiz,75,55
AnPhA-S116-01,60186,7.2: Virtual Eye Dissection,10,NA
AnPhA-S116-01,60186,7.3: Anatomy and Physiology of Hearing Flow Chart,15,8
AnPhA-S116-01,60186,7.4: Quiz,30,30
AnPhA-S116-01,60186,Unit 7 Assessment: Create Your Own Senses Experiment,10,10
AnPhA-S116-01,60186,8.1 - 8.3: Quiz,10,10
AnPhA-S116-01,60186,8.4: Negative Feedback Loops of the Endocrine Pancreas,5,5
AnPhA-S116-01,60186,8.5: Modeling Leptin and Obesity,5,5
AnPhA-S116-01,60186,Unit 8 Assessment: Test,10,9
AnPhA-S116-01,60186,Final Exam,10,10
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,10,8
AnPhA-S116-01,66693,POINTS EARNED & TOTAL COURSE POINTS,24,24
AnPhA-S116-01,66693,WORK ATTEMPTED,10,6.25
AnPhA-S116-01,66693,0.1: Message Your Instructor,30,24
AnPhA-S116-01,66693,0.2: Intro Assignment - Discussion Board,5,5
AnPhA-S116-01,66693,0.3: Intro Assignment - Submitting Files,5,5
AnPhA-S116-01,66693,1.1: Quiz,24,16
AnPhA-S116-01,66693,1.2: Quiz,130,127
AnPhA-S116-01,66693,1.3: Create a Living Creature,5,5
AnPhA-S116-01,66693,1.3: Create a Living Creature - Discussion Board,20,20
AnPhA-S116-01,66693,1.4: Negative Feedback Loop Flowchart,10,8.75
AnPhA-S116-01,66693,1.5: Quiz,10,9.5
AnPhA-S116-01,66693,Unit 1 Assessment: Pickle Autopsy Lab,15,NA
AnPhA-S116-01,66693,PROGRESS CHECK 1 @ 10-02-15,5,5
AnPhA-S116-01,66693,2.1: Types of Membranes,5,5
AnPhA-S116-01,66693,2.2 - 2.3: Quiz,30,NA
AnPhA-S116-01,66693,2.4 - 2.5 Quiz,5,5
AnPhA-S116-01,66693,2.6: Quiz,5,5
AnPhA-S116-01,66693,Unit 2 Assessment: Test,10,7
AnPhA-S116-01,66693,3.1: Models of the Integumentary System,10,10
AnPhA-S116-01,66693,3.2 - 3.3: Quiz,10,NA
AnPhA-S116-01,66693,3.4: Skin Twin - Discussion Board,30,25.88
AnPhA-S116-01,66693,Unit 3 Assessment: UV Exposure Lab,10,10
AnPhA-S116-01,66693,PROGRESS CHECK 2 @ 10-28-15,5,5
AnPhA-S116-01,66693,4.2: Balloon Skull Lab,10,10
AnPhA-S116-01,66693,4.1 - 4.3: Quiz,10,10
AnPhA-S116-01,66693,4.4: Quiz,10,NA
AnPhA-S116-01,66693,4.5: Muscle Movements in our Daily Life,20,10
AnPhA-S116-01,66693,4.6: Soda and Osteoporosis Research Writing,438,400.38
AnPhA-S116-01,66693,Unit 4 Assessment: Test,457,385.01
AnPhA-S116-01,66693,5.1: Quiz,5,5
AnPhA-S116-01,66693,5.4: Muscle Tissue Types Chart,10,4
AnPhA-S116-01,66693,5.2 - 5.4: Quiz,10,8.5
AnPhA-S116-01,66693,PROGRESS CHECK 3 @ 11-20-15,10,NA
