student_id,course_id,final_grade,gender,course_interest,perceived_competence,utility_value,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
43146,FrScA-S216-02,93.4537246,M,5,4.5,4.333333333,5,4,4,5,5,5,5,5,4,5
44638,OcnA-S116-01,81.70184255,F,4.2,3.5,4,4,4,3,4,4,4,4,5,4,4
47448,FrScA-S216-01,88.48758465,M,5,4,3.666666667,5,4,4,5,5,4,4,5,3,5
47979,OcnA-S216-01,81.85259631,M,5,3.5,5,5,5,3,5,5,5,4,5,5,5
48797,PhysA-S116-01,84,F,3.8,3.5,3.5,4,3,3,4,4,4,4,4,NA,3
51943,FrScA-S216-03,NA,F,4.6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52326,AnPhA-S216-01,83.5882656,M,5,3.5,5,5,5,3,5,5,5,4,5,5,5
52446,PhysA-S116-01,97.77777778,F,3,3,3.333333333,3,3,3,3,3,4,3,3,3,3
53447,FrScA-S116-01,96.11872146,F,4.2,3,2.666666667,4,3,3,4,4,3,3,4,2,5
53475,FrScA-S116-02,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53475,FrScA-S216-01,81.03837472,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54066,OcnA-S116-01,93.90452261,M,4.4,4,5,4,5,3,5,5,5,5,4,5,4
54282,OcnA-S116-02,93.40033501,F,3.4,3,2.666666667,3,3,3,3,4,3,3,3,2,4
54342,OcnA-S116-02,64.78224456,F,4.7,4.5,3.833333333,5,3,5,5,5,5,5,5,2,5
54346,OcnA-S116-01,51.0921273,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54434,PhysA-S116-01,93.0625,F,4,3,3,4,2,2,4,4,4,4,4,2,4
54567,OcnA-S216-02,65.84254606,F,4.2,4,4,4,4,3,5,4,4,5,4,4,4
55078,FrScA-S216-01,97.74266366,F,4.2,3.5,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55140,PhysA-S116-01,73.78472222,F,3.8,3,2.666666667,4,3,3,4,4,3,3,4,2,3
55283,FrScA-S116-01,NA,F,3.8,3.5,2.833333333,4,2,3,4,3,3,3,4,3,4
