student_id,course_id,gender,enrollment_reason,enrollment_status,time_spent
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2087.0501
66693,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2309.0334
66811,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,5298.8507
66862,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1746.9667
67508,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,2668.183
70532,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,2938.4666
77010,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1533.0996
85249,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1209.8496
85411,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,473.0333
85583,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,5532.4164
85865,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,95.3
85866,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,3050.0831
85970,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,610.8334
86072,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,608.1834
86119,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2127.0664
86267,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,406.0001
86275,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,7067.1498
86277,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3856.8672
86286,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,4140.4495
86294,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,4239.5495
86429,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,7003.0005
86432,AnPhA-S116-01,M,Scheduling Conflict,Approved/Enrolled,3715.9002
86446,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,2527.6997
86451,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,4176.8337
86476,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1937.5168
86479,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2712.234
86484,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1872.0336
86488,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3599.7168
86492,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,893.1332
86504,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1551.3498
86588,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,67.5167
86608,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3109.0664
87043,AnPhA-S116-01,F,Other,Approved/Enrolled,1587.1833
87166,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1471.8833
88050,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2130.6666
88068,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,535.8334
88099,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,2615.4998
88153,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,6954.6997
88641,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1998.4998
89142,AnPhA-S116-01,F,Other,Approved/Enrolled,3067.4676
89194,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,317.2168
89918,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,6009.3666
90305,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,2363.6832
56152,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,4438.8165
57188,AnPhA-S116-02,M,Learning Preference of the Student,Approved/Enrolled,5305.4334
65627,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,2164.9001
70192,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,1537.1834
76930,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,2804.9832
79220,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,3781.6498
86314,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,3030.1667
86707,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,2143.133
90394,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,1886.5329
90395,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,2300.6664
90396,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,3544.8161
90397,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,2394.3497
90398,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,4264.25
90399,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,768.4833
90956,AnPhA-S116-02,F,Other,Approved/Enrolled,1550.4668
90971,AnPhA-S116-02,F,Other,Approved/Enrolled,3785.2838
90995,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,202.2832
91065,AnPhA-S116-02,M,Other,Approved/Enrolled,1334.7001
91175,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,1315.25
91319,AnPhA-S116-02,F,Other,Approved/Enrolled,686.2998
91320,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,584.9166
91574,AnPhA-S116-02,M,Scheduling Conflict,Approved/Enrolled,2999.75
91619,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,1272.2331
