student_id,course_id,total_points_possible,total_points_earned
43146,FrScA-S216-02,1217,1150
44638,OcnA-S116-01,1676,1384.23
47448,FrScA-S216-01,1232,1116
47979,OcnA-S216-01,1833,1492.73
48797,PhysA-S116-01,2225,1994.75
51943,FrScA-S216-03,1222,70
52326,AnPhA-S216-01,1775,1518.50999
52446,PhysA-S116-01,2225,2198
53447,FrScA-S116-01,1212,1173
53475,FrScA-S116-02,1212,0
53475,FrScA-S216-01,1232,1014
54066,OcnA-S116-01,1676,1594.73
54282,OcnA-S116-02,1676,1586.65
54342,OcnA-S116-02,1676,1244.45
54346,OcnA-S116-01,1676,902.0699999999999
54434,PhysA-S116-01,2225,2053.15
54567,OcnA-S216-02,1676,1092.04
55078,FrScA-S216-01,1232,1204
55140,PhysA-S116-01,2225,1661.45
55283,FrScA-S116-01,1212,110
56152,AnPhA-S116-02,1775,1706.3799999999999
57188,AnPhA-S116-02,1775,1511.1399999999999
57188,FrScA-S216-01,1232,947
57224,FrScA-S116-03,1212,1059.97
57489,PhysA-S116-01,2225,2140
57981,OcnA-S116-01,1676,1340.6299999999999
58168,AnPhA-S216-01,1775,1732.52
58178,OcnA-S116-01,1676,1580.29
60186,AnPhA-S116-01,1775,1674.73
61357,FrScA-S116-02,1212,0
61941,FrScA-S116-01,1212,1150
61965,BioA-S116-01,2420,1865.1299999999999
62157,FrScA-S116-02,1212,909.73
62175,OcnA-S216-01,1833,1341.52
62576,PhysA-S116-01,2225,2108
62752,PhysA-S116-01,2225,2099.8
62754,PhysA-S116-01,2225,2140.65
64930,FrScA-T116-01,1212,1045.19
65116,FrScA-S216-01,1232,1158
65627,AnPhA-S116-02,1775,1473.7649999999999
66508,AnPhA-T116-01,1775,0
66508,PhysA-T116-01,2225,2097.5
66689,FrScA-S216-01,1232,1218
66693,AnPhA-S116-01,1775,1674.25
66740,OcnA-S116-01,1676,1663
66811,AnPhA-S116-01,1775,1633.15
66862,AnPhA-S116-01,1775,1118.57333
67013,AnPhA-S216-01,1775,871.25
67102,PhysA-S216-01,2225,2028.5
67463,FrScA-S216-01,1232,1118
67508,AnPhA-S116-01,1775,1528.34333
