student_id,subject,semester,section,total_points_possible,total_points_earned,proportion_earned,gender,enrollment_reason,enrollment_status,time_spent,time_spent_hours,course_id,int,val,percomp,tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,date_x,post_int,post_uv,post_tv,post_percomp,date_y,date
43146,FrScA,S216,02,1217,1150,94.49465899753491,F,Course Unavailable at Local School,Approved/Enrolled,1555.1667,25.919445,FrScA-S216-02,4.2,3.6666666666666665,4,3.857142857142857,4,4,4,5,4,4,4,4,3,4,2016-02-02T18:44:00Z,NA,NA,NA,NA,NA,NA
44638,OcnA,S116,01,1676,1384.23,82.59128878281624,M,Course Unavailable at Local School,Approved/Enrolled,1382.7001,23.045001666666668,OcnA-S116-01,4,3,3,3.5714285714285716,4,2,2,4,4,4,4,4,3,4,2015-09-09T13:41:00Z,NA,NA,NA,NA,NA,NA
47448,FrScA,S216,01,1232,1116,90.5844155844156,F,Other,Approved/Enrolled,860.4335,14.340558333333332,FrScA-S216-01,4.2,3,3,3.7142857142857144,5,3,3,4,4,3,3,4,3,4,2016-01-28T14:01:00Z,NA,NA,NA,NA,NA,NA
47979,OcnA,S216,01,1833,1492.73,81.43644298963449,M,Course Unavailable at Local School,Approved/Enrolled,1598.6166,26.643610000000002,OcnA-S216-01,4,3.6666666666666665,2.5,3.857142857142857,4,3,2,4,4,4,3,4,4,4,2016-01-27T13:04:00Z,NA,NA,NA,NA,NA,NA
48797,PhysA,S116,01,2225,1994.75,89.65168539325843,M,Learning Preference of the Student,Approved/Enrolled,1481.8,24.696666666666665,PhysA-S116-01,3.8,3.6666666666666665,3.5,3.7142857142857144,4,4,3,4,4,4,4,4,3,3,2015-09-14T16:01:00Z,NA,NA,NA,NA,NA,NA
51943,FrScA,S216,03,1222,70,5.728314238952537,M,Learning Preference of the Student,Withdrawn,3.4501,0.057501666666666666,FrScA-S216-03,3.8,3.6666666666666665,3.5,3.7142857142857144,4,4,3,4,3,3,4,4,4,4,2016-02-17T19:30:00Z,NA,NA,NA,NA,NA,NA
52326,AnPhA,S216,01,1775,1518.50999,85.5498585915493,F,Other,Approved/Enrolled,1321.8164,22.030273333333334,AnPhA-S216-01,3.6,4,3,4,4,4,4,2,4,4,2,4,4,4,2016-02-09T16:43:00Z,NA,NA,NA,NA,NA,NA
52446,PhysA,S116,01,2225,2198,98.78651685393258,F,Learning Preference of the Student,Approved/Enrolled,1390.2167,23.170278333333332,PhysA-S116-01,4.2,3.6666666666666665,3,4,4,4,3,4,4,4,3,5,3,4,2015-09-19T21:36:00Z,3.5,3.6666666666666665,3.5714285714285716,3.5,2016-01-02T00:41:00Z,NA
53447,FrScA,S116,01,1212,1173,96.78217821782178,F,Course Unavailable at Local School,Approved/Enrolled,1479.4166,24.656943333333334,FrScA-S116-01,3.8,2,3,3,5,2,3,4,4,2,3,4,2,2,2015-09-22T18:06:00Z,3.75,2,3,3,2015-10-13T14:11:00Z,NA
53475,FrScA,S116,02,1212,0,0,F,Course Unavailable at Local School,Dropped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53475,FrScA,S216,01,1232,1014,82.3051948051948,F,Course Unavailable at Local School,Approved/Enrolled,1867.4169,31.123614999999997,FrScA-S216-01,4.8,3.3333333333333335,4,4.142857142857143,5,4,4,5,5,3,4,5,3,4,2016-02-02T15:14:00Z,NA,NA,NA,NA,NA,NA
54066,OcnA,S116,01,1676,1594.73,95.15095465393794,F,Other,Approved/Enrolled,2625.5164,43.758606666666665,OcnA-S116-01,4.6,4.666666666666667,4,4.714285714285714,4,5,4,4,5,5,4,5,4,5,2015-09-09T14:10:00Z,5,4.666666666666667,4.857142857142857,4,2015-09-14T14:18:00Z,NA
54282,OcnA,S116,02,1676,1586.65,94.66885441527447,F,Course Unavailable at Local School,Approved/Enrolled,2025.1672,33.752786666666665,OcnA-S116-02,3.4,2,3.5,2.7142857142857144,3,1,3,4,4,3,4,3,2,3,2015-09-10T11:54:00Z,NA,NA,NA,NA,NA,NA
54342,OcnA,S116,02,1676,1244.45,74.25119331742243,F,Learning Preference of the Student,Approved/Enrolled,1581.0831,26.351385,OcnA-S116-02,4,3,3.5,3.5714285714285716,4,3,3,4,4,3,4,4,3,4,2015-09-09T13:16:00Z,NA,NA,NA,NA,NA,NA
54346,OcnA,S116,01,1676,902.07,53.8227923627685,F,Course Unavailable at Local School,Approved/Enrolled,1191.3836,19.856393333333333,OcnA-S116-01,4.4,2,3,3.2857142857142856,4,2,2,5,5,3,4,5,1,3,2015-09-09T14:41:00Z,4,2.6666666666666665,3.4285714285714284,3.5,2016-01-06T00:01:00Z,NA
54434,PhysA,S116,01,2225,2053.15,92.27640449438202,F,Learning Preference of the Student,Approved/Enrolled,1231.8666,20.53111,PhysA-S116-01,5,5,4,5,5,5,4,5,5,5,4,5,5,5,2015-09-11T12:28:00Z,3.75,4,3.857142857142857,4,2016-01-03T23:02:00Z,NA
54567,OcnA,S216,02,1676,1092.04,65.15751789976133,M,Course Unavailable at Local School,Approved/Enrolled,1180.2664,19.671106666666667,OcnA-S216-02,4,3.6666666666666665,3.5,3.857142857142857,4,4,3,4,4,4,4,4,3,4,2016-01-25T16:15:00Z,NA,NA,NA,NA,NA,NA
55078,FrScA,S216,01,1232,1204,97.72727272727273,M,Learning Preference of the Student,Approved/Enrolled,2130.7497,35.512494999999994,FrScA-S216-01,4.4,3.6666666666666665,3,4.142857142857143,4,4,3,4,4,4,3,5,3,5,2016-01-27T18:24:00Z,NA,NA,NA,NA,NA,NA
55140,PhysA,S116,01,2225,1661.45,74.671910112359555,M,Course Unavailable at Local School,Approved/Enrolled,2083.3167,34.721945,PhysA-S116-01,5,4,4.5,4.571428571428571,5,4,4,5,5,4,5,5,4,5,2015-10-05T15:13:00Z,4.75,3.6666666666666665,4.285714285714286,3.5,2015-09-14T14:45:00Z,NA
55283,FrScA,S116,01,1212,110,9.075907590759076,F,Other,Withdrawn,3.9167,0.06527833333333334,FrScA-S116-01,5,3.6666666666666665,4,4.428571428571429,5,3,4,5,5,5,4,5,3,5,2015-09-22T17:49:00Z,NA,NA,NA,NA,NA,NA
56152,AnPhA,S116,02,1775,1706.38,96.13408450704226,F,Scheduling Conflict,Approved/Enrolled,4438.8165,73.98027499999999,AnPhA-S116-02,4.8,4.333333333333333,4,4.714285714285714,5,5,3,4,5,5,5,5,3,5,2015-10-08T19:42:00Z,NA,NA,NA,NA,NA,NA
57188,AnPhA,S116,02,1775,1511.14,85.13464788732395,M,Learning Preference of the Student,Approved/Enrolled,5305.4334,88.42389,AnPhA-S116-02,4,5,3.5,4.285714285714286,4,5,3,5,4,5,4,4,5,3,2015-09-09T16:25:00Z,NA,NA,NA,NA,NA,NA
57188,FrScA,S216,01,1232,947,76.86688311688312,M,Learning Preference of the Student,Approved/Enrolled,2193.0833,36.55138833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57224,FrScA,S116,03,1212,1059.97,87.45627062706271,F,Course Unavailable at Local School,Approved/Enrolled,2356.4668,39.27444666666667,FrScA-S116-03,4.4,3,3.5,3.857142857142857,4,3,3,4,4,4,4,5,2,5,2015-09-09T17:34:00Z,2.25,1.6666666666666667,2,4,2016-01-14T21:55:00Z,NA
57489,PhysA,S116,01,2225,2140,96.17977528089887,M,Course Unavailable at Local School,Approved/Enrolled,1863.5169,31.058615,PhysA-S116-01,4.6,3.6666666666666665,4.5,4.142857142857143,5,4,5,5,4,4,4,4,3,5,2015-09-28T14:22:00Z,4.25,4,4.142857142857143,4.5,2016-01-12T15:11:00Z,NA
57981,OcnA,S116,01,1676,1340.63,79.98985680190931,F,Learning Preference of the Student,Approved/Enrolled,3343.3333,55.72222166666666,OcnA-S116-01,4.2,3.3333333333333335,2.5,3.857142857142857,4,2,2,4,4,4,3,4,4,5,2015-09-10T17:26:00Z,4,4.333333333333333,4.142857142857143,4,2015-11-17T15:38:00Z,NA
58168,AnPhA,S216,01,1775,1732.52,97.60676056338028,F,Other,Approved/Enrolled,433.3669,7.222781666666666,AnPhA-S216-01,4.2,4.666666666666667,3.5,4.285714285714286,4,5,3,5,4,5,4,4,4,4,2016-01-26T02:44:00Z,NA,NA,NA,NA,NA,NA
58178,OcnA,S116,01,1676,1580.29,94.28937947494033,M,Course Unavailable at Local School,Approved/Enrolled,3502.0004,58.36667333333333,OcnA-S116-01,4,4,4.5,4,4,4,4,4,5,5,5,4,3,3,2015-09-09T16:49:00Z,3.75,4,3.857142857142857,4,2015-09-18T16:26:00Z,NA
60186,AnPhA,S116,01,1775,1674.73,94.35098591549296,M,Course Unavailable at Local School,Approved/Enrolled,2087.0501,34.784168333333334,AnPhA-S116-01,4.2,4.333333333333333,4.5,4.142857142857143,4,4,4,5,4,5,5,4,4,4,2015-09-17T16:41:00Z,NA,NA,NA,NA,NA,NA
61357,FrScA,S116,02,1212,0,0,F,Course Unavailable at Local School,Dropped,NA,NA,FrScA-S116-02,5,4.666666666666667,4.5,4.857142857142857,5,5,4,5,5,5,5,5,4,5,2015-09-09T18:32:00Z,NA,NA,NA,NA,NA,NA
61941,FrScA,S116,01,1212,1150,94.88448844884488,F,Course Unavailable at Local School,Approved/Enrolled,1637.9504,27.299173333333332,FrScA-S116-01,4.6,4.333333333333333,4,4.571428571428571,5,4,4,4,4,4,4,5,5,5,2015-09-14T18:22:00Z,4.5,4.333333333333333,4.428571428571429,4,2016-01-19T01:59:00Z,NA
61965,BioA,S116,01,2420,1865.13,77.07148760330578,M,Learning Preference of the Student,Approved/Enrolled,615.2168,10.253613333333334,BioA-S116-01,3.6,4,3,3.7142857142857144,3,4,3,4,4,5,3,4,3,3,2015-09-10T13:22:00Z,4.25,4.333333333333333,4.285714285714286,3.5,2016-01-20T21:06:00Z,NA
